Edad simple;Comunidades y ciudades autónomas;Sexo;Periodo;Total
Todas las edades;01 Andalucía;Total;1 de enero de 2015;8.388.994
Todas las edades;01 Andalucía;Total;1 de octubre de 2014;""
Todas las edades;01 Andalucía;Total;1 de julio de 2014;8.381.448
Todas las edades;01 Andalucía;Total;1 de abril de 2014;""
Todas las edades;01 Andalucía;Total;1 de enero de 2014;8.381.239
Todas las edades;02 Aragón;Total;1 de enero de 2025;1.364.621
Todas las edades;02 Aragón;Total;1 de octubre de 2024;1.360.820
Todas las edades;02 Aragón;Total;1 de julio de 2024;1.356.309
Todas las edades;02 Aragón;Total;1 de abril de 2024;1.352.952
Todas las edades;02 Aragón;Total;1 de enero de 2024;1.351.591
Todas las edades;02 Aragón;Total;1 de octubre de 2023;1.348.452
Todas las edades;02 Aragón;Total;1 de julio de 2023;1.345.247
Todas las edades;02 Aragón;Total;1 de abril de 2023;1.343.282
Todas las edades;02 Aragón;Total;1 de enero de 2023;1.341.289
Todas las edades;02 Aragón;Total;1 de octubre de 2022;1.337.461
Todas las edades;02 Aragón;Total;1 de julio de 2022;1.334.478
Todas las edades;02 Aragón;Total;1 de abril de 2022;1.329.929
Todas las edades;02 Aragón;Total;1 de enero de 2022;1.328.215
Todas las edades;02 Aragón;Total;1 de octubre de 2021;1.332.211
Todas las edades;02 Aragón;Total;1 de julio de 2021;1.330.711
Todas las edades;02 Aragón;Total;1 de abril de 2021;1.331.330
Todas las edades;02 Aragón;Total;1 de enero de 2021;1.331.938
Todas las edades;02 Aragón;Total;1 de octubre de 2020;""
Todas las edades;02 Aragón;Total;1 de julio de 2020;1.331.544
Todas las edades;02 Aragón;Total;1 de abril de 2020;""
Todas las edades;02 Aragón;Total;1 de enero de 2020;1.330.592
Todas las edades;02 Aragón;Total;1 de octubre de 2019;""
Todas las edades;02 Aragón;Total;1 de julio de 2019;1.324.409
Todas las edades;02 Aragón;Total;1 de abril de 2019;""
Todas las edades;02 Aragón;Total;1 de enero de 2019;1.320.694
Todas las edades;02 Aragón;Total;1 de octubre de 2018;""
Todas las edades;02 Aragón;Total;1 de julio de 2018;1.315.878
Todas las edades;02 Aragón;Total;1 de abril de 2018;""
Todas las edades;02 Aragón;Total;1 de enero de 2018;1.313.493
Todas las edades;02 Aragón;Total;1 de octubre de 2017;""
Todas las edades;02 Aragón;Total;1 de julio de 2017;1.315.332
Todas las edades;02 Aragón;Total;1 de abril de 2017;""
Todas las edades;02 Aragón;Total;1 de enero de 2017;1.315.411
Todas las edades;02 Aragón;Total;1 de octubre de 2016;""
Todas las edades;02 Aragón;Total;1 de julio de 2016;1.316.238
Todas las edades;02 Aragón;Total;1 de abril de 2016;""
Todas las edades;02 Aragón;Total;1 de enero de 2016;1.318.042
Todas las edades;02 Aragón;Total;1 de octubre de 2015;""
Todas las edades;02 Aragón;Total;1 de julio de 2015;1.320.887
Todas las edades;02 Aragón;Total;1 de abril de 2015;""
Todas las edades;02 Aragón;Total;1 de enero de 2015;1.325.600
Todas las edades;02 Aragón;Total;1 de octubre de 2014;""
Todas las edades;02 Aragón;Total;1 de julio de 2014;1.327.609
Todas las edades;02 Aragón;Total;1 de abril de 2014;""
Todas las edades;02 Aragón;Total;1 de enero de 2014;1.330.713
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2025;1.015.128
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2024;1.013.182
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2024;1.010.547
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2024;1.009.475
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2024;1.009.599
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2023;1.008.299
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2023;1.006.368
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2023;1.006.134
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2023;1.006.060
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2022;1.005.533
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2022;1.004.553
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2022;1.004.326
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2022;1.004.960
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2021;1.006.430
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2021;1.007.329
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2021;1.009.420
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2021;1.012.117
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2020;""
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2020;1.014.604
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2020;""
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2020;1.018.053
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2019;""
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2019;1.019.217
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2019;""
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2019;1.021.469
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2018;""
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2018;1.023.596
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2018;""
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2018;1.027.091
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2017;""
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2017;1.029.282
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2017;""
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2017;1.033.550
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2016;""
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2016;1.036.480
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2016;""
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2016;1.040.407
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2015;""
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2015;1.043.486
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2015;""
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2015;1.049.328
Todas las edades;03 Asturias, Principado de;Total;1 de octubre de 2014;""
Todas las edades;03 Asturias, Principado de;Total;1 de julio de 2014;1.053.538
Todas las edades;03 Asturias, Principado de;Total;1 de abril de 2014;""
Todas las edades;03 Asturias, Principado de;Total;1 de enero de 2014;1.058.560
Todas las edades;04 Balears, Illes;Total;1 de enero de 2025;1.249.844
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2024;1.248.020
Todas las edades;04 Balears, Illes;Total;1 de julio de 2024;1.241.571
Todas las edades;04 Balears, Illes;Total;1 de abril de 2024;1.234.681
Todas las edades;04 Balears, Illes;Total;1 de enero de 2024;1.231.768
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2023;1.229.555
Todas las edades;04 Balears, Illes;Total;1 de julio de 2023;1.222.509
Todas las edades;04 Balears, Illes;Total;1 de abril de 2023;1.213.977
Todas las edades;04 Balears, Illes;Total;1 de enero de 2023;1.209.906
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2022;1.206.684
Todas las edades;04 Balears, Illes;Total;1 de julio de 2022;1.199.002
Todas las edades;04 Balears, Illes;Total;1 de abril de 2022;1.189.263
Todas las edades;04 Balears, Illes;Total;1 de enero de 2022;1.187.043
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2021;1.186.410
Todas las edades;04 Balears, Illes;Total;1 de julio de 2021;1.182.298
Todas las edades;04 Balears, Illes;Total;1 de abril de 2021;1.180.773
Todas las edades;04 Balears, Illes;Total;1 de enero de 2021;1.183.415
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2020;""
Todas las edades;04 Balears, Illes;Total;1 de julio de 2020;1.179.492
Todas las edades;04 Balears, Illes;Total;1 de abril de 2020;""
Todas las edades;04 Balears, Illes;Total;1 de enero de 2020;1.176.816
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2019;""
Todas las edades;04 Balears, Illes;Total;1 de julio de 2019;1.166.084
Todas las edades;04 Balears, Illes;Total;1 de abril de 2019;""
Todas las edades;04 Balears, Illes;Total;1 de enero de 2019;1.157.928
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2018;""
Todas las edades;04 Balears, Illes;Total;1 de julio de 2018;1.148.049
Todas las edades;04 Balears, Illes;Total;1 de abril de 2018;""
Todas las edades;04 Balears, Illes;Total;1 de enero de 2018;1.141.233
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2017;""
Todas las edades;04 Balears, Illes;Total;1 de julio de 2017;1.133.746
Todas las edades;04 Balears, Illes;Total;1 de abril de 2017;""
Todas las edades;04 Balears, Illes;Total;1 de enero de 2017;1.128.492
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2016;""
Todas las edades;04 Balears, Illes;Total;1 de julio de 2016;1.122.995
Todas las edades;04 Balears, Illes;Total;1 de abril de 2016;""
Todas las edades;04 Balears, Illes;Total;1 de enero de 2016;1.117.353
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2015;""
Todas las edades;04 Balears, Illes;Total;1 de julio de 2015;1.113.547
Todas las edades;04 Balears, Illes;Total;1 de abril de 2015;""
Todas las edades;04 Balears, Illes;Total;1 de enero de 2015;1.111.002
Todas las edades;04 Balears, Illes;Total;1 de octubre de 2014;""
Todas las edades;04 Balears, Illes;Total;1 de julio de 2014;1.108.557
Todas las edades;04 Balears, Illes;Total;1 de abril de 2014;""
Todas las edades;04 Balears, Illes;Total;1 de enero de 2014;1.106.617
Todas las edades;05 Canarias;Total;1 de enero de 2025;2.258.866
Todas las edades;05 Canarias;Total;1 de octubre de 2024;2.255.021
Todas las edades;05 Canarias;Total;1 de julio de 2024;2.246.943
Todas las edades;05 Canarias;Total;1 de abril de 2024;2.242.280
Todas las edades;05 Canarias;Total;1 de enero de 2024;2.238.754
Todas las edades;05 Canarias;Total;1 de octubre de 2023;2.231.558
Todas las edades;05 Canarias;Total;1 de julio de 2023;2.224.285
Todas las edades;05 Canarias;Total;1 de abril de 2023;2.219.147
Todas las edades;05 Canarias;Total;1 de enero de 2023;2.213.016
Todas las edades;05 Canarias;Total;1 de octubre de 2022;2.205.349
Todas las edades;05 Canarias;Total;1 de julio de 2022;2.197.327
Todas las edades;05 Canarias;Total;1 de abril de 2022;2.189.919
Todas las edades;05 Canarias;Total;1 de enero de 2022;2.185.607
Todas las edades;05 Canarias;Total;1 de octubre de 2021;2.179.969
Todas las edades;05 Canarias;Total;1 de julio de 2021;2.176.916
Todas las edades;05 Canarias;Total;1 de abril de 2021;2.177.938
Todas las edades;05 Canarias;Total;1 de enero de 2021;2.178.924
Todas las edades;05 Canarias;Total;1 de octubre de 2020;""
Todas las edades;05 Canarias;Total;1 de julio de 2020;2.180.408
Todas las edades;05 Canarias;Total;1 de abril de 2020;""
Todas las edades;05 Canarias;Total;1 de enero de 2020;2.176.240
Todas las edades;05 Canarias;Total;1 de octubre de 2019;""
Todas las edades;05 Canarias;Total;1 de julio de 2019;2.163.045
Todas las edades;05 Canarias;Total;1 de abril de 2019;""
Todas las edades;05 Canarias;Total;1 de enero de 2019;2.153.316
Todas las edades;05 Canarias;Total;1 de octubre de 2018;""
Todas las edades;05 Canarias;Total;1 de julio de 2018;2.139.244
Todas las edades;05 Canarias;Total;1 de abril de 2018;""
Todas las edades;05 Canarias;Total;1 de enero de 2018;2.131.581
Todas las edades;05 Canarias;Total;1 de octubre de 2017;""
Todas las edades;05 Canarias;Total;1 de julio de 2017;2.120.386
Todas las edades;05 Canarias;Total;1 de abril de 2017;""
Todas las edades;05 Canarias;Total;1 de enero de 2017;2.115.233
Todas las edades;05 Canarias;Total;1 de octubre de 2016;""
Todas las edades;05 Canarias;Total;1 de julio de 2016;2.106.942
Todas las edades;05 Canarias;Total;1 de abril de 2016;""
Todas las edades;05 Canarias;Total;1 de enero de 2016;2.103.436
Todas las edades;05 Canarias;Total;1 de octubre de 2015;""
Todas las edades;05 Canarias;Total;1 de julio de 2015;2.099.272
Todas las edades;05 Canarias;Total;1 de abril de 2015;""
Todas las edades;05 Canarias;Total;1 de enero de 2015;2.101.319
Todas las edades;05 Canarias;Total;1 de octubre de 2014;""
Todas las edades;05 Canarias;Total;1 de julio de 2014;2.097.304
Todas las edades;05 Canarias;Total;1 de abril de 2014;""
Todas las edades;05 Canarias;Total;1 de enero de 2014;2.098.155
Todas las edades;06 Cantabria;Total;1 de enero de 2025;593.623
Todas las edades;06 Cantabria;Total;1 de octubre de 2024;592.932
Todas las edades;06 Cantabria;Total;1 de julio de 2024;591.395
Todas las edades;06 Cantabria;Total;1 de abril de 2024;590.781
Todas las edades;06 Cantabria;Total;1 de enero de 2024;590.851
Todas las edades;06 Cantabria;Total;1 de octubre de 2023;590.114
Todas las edades;06 Cantabria;Total;1 de julio de 2023;588.662
Todas las edades;06 Cantabria;Total;1 de abril de 2023;588.356
Todas las edades;06 Cantabria;Total;1 de enero de 2023;588.387
Todas las edades;06 Cantabria;Total;1 de octubre de 2022;587.527
Todas las edades;06 Cantabria;Total;1 de julio de 2022;586.319
Todas las edades;06 Cantabria;Total;1 de abril de 2022;585.451
Todas las edades;06 Cantabria;Total;1 de enero de 2022;585.450
Todas las edades;06 Cantabria;Total;1 de octubre de 2021;585.400
Todas las edades;06 Cantabria;Total;1 de julio de 2021;584.569
Todas las edades;06 Cantabria;Total;1 de abril de 2021;584.705
Todas las edades;06 Cantabria;Total;1 de enero de 2021;584.708
Todas las edades;06 Cantabria;Total;1 de octubre de 2020;""
Todas las edades;06 Cantabria;Total;1 de julio de 2020;583.107
Todas las edades;06 Cantabria;Total;1 de abril de 2020;""
Todas las edades;06 Cantabria;Total;1 de enero de 2020;583.011
Todas las edades;06 Cantabria;Total;1 de octubre de 2019;""
Todas las edades;06 Cantabria;Total;1 de julio de 2019;582.260
Todas las edades;06 Cantabria;Total;1 de abril de 2019;""
Todas las edades;06 Cantabria;Total;1 de enero de 2019;581.989
Todas las edades;06 Cantabria;Total;1 de octubre de 2018;""
Todas las edades;06 Cantabria;Total;1 de julio de 2018;581.227
Todas las edades;06 Cantabria;Total;1 de abril de 2018;""
Todas las edades;06 Cantabria;Total;1 de enero de 2018;581.533
Todas las edades;06 Cantabria;Total;1 de octubre de 2017;""
Todas las edades;06 Cantabria;Total;1 de julio de 2017;581.027
Todas las edades;06 Cantabria;Total;1 de abril de 2017;""
Todas las edades;06 Cantabria;Total;1 de enero de 2017;581.421
Todas las edades;06 Cantabria;Total;1 de octubre de 2016;""
Todas las edades;06 Cantabria;Total;1 de julio de 2016;581.446
Todas las edades;06 Cantabria;Total;1 de abril de 2016;""
Todas las edades;06 Cantabria;Total;1 de enero de 2016;582.494
Todas las edades;06 Cantabria;Total;1 de octubre de 2015;""
Todas las edades;06 Cantabria;Total;1 de julio de 2015;583.437
Todas las edades;06 Cantabria;Total;1 de abril de 2015;""
Todas las edades;06 Cantabria;Total;1 de enero de 2015;585.184
Todas las edades;06 Cantabria;Total;1 de octubre de 2014;""
Todas las edades;06 Cantabria;Total;1 de julio de 2014;586.041
Todas las edades;06 Cantabria;Total;1 de abril de 2014;""
Todas las edades;06 Cantabria;Total;1 de enero de 2014;587.491
Todas las edades;07 Castilla y León;Total;1 de enero de 2025;2.401.221
Todas las edades;07 Castilla y León;Total;1 de octubre de 2024;2.397.071
Todas las edades;07 Castilla y León;Total;1 de julio de 2024;2.392.231
Todas las edades;07 Castilla y León;Total;1 de abril de 2024;2.391.138
Todas las edades;07 Castilla y León;Total;1 de enero de 2024;2.391.682
Todas las edades;07 Castilla y León;Total;1 de octubre de 2023;2.389.072
Todas las edades;07 Castilla y León;Total;1 de julio de 2023;2.385.360
Todas las edades;07 Castilla y León;Total;1 de abril de 2023;2.384.028
Todas las edades;07 Castilla y León;Total;1 de enero de 2023;2.383.703
Todas las edades;07 Castilla y León;Total;1 de octubre de 2022;2.380.598
Todas las edades;07 Castilla y León;Total;1 de julio de 2022;2.378.252
Todas las edades;07 Castilla y León;Total;1 de abril de 2022;2.375.530
Todas las edades;07 Castilla y León;Total;1 de enero de 2022;2.375.583
Todas las edades;07 Castilla y León;Total;1 de octubre de 2021;2.375.948
Todas las edades;07 Castilla y León;Total;1 de julio de 2021;2.376.735
Todas las edades;07 Castilla y León;Total;1 de abril de 2021;2.381.418
Todas las edades;07 Castilla y León;Total;1 de enero de 2021;2.385.223
Todas las edades;07 Castilla y León;Total;1 de octubre de 2020;""
Todas las edades;07 Castilla y León;Total;1 de julio de 2020;2.389.195
Todas las edades;07 Castilla y León;Total;1 de abril de 2020;""
Todas las edades;07 Castilla y León;Total;1 de enero de 2020;2.398.976
Todas las edades;07 Castilla y León;Total;1 de octubre de 2019;""
Todas las edades;07 Castilla y León;Total;1 de julio de 2019;2.400.492
Todas las edades;07 Castilla y León;Total;1 de abril de 2019;""
Todas las edades;07 Castilla y León;Total;1 de enero de 2019;2.405.568
Todas las edades;07 Castilla y León;Total;1 de octubre de 2018;""
Todas las edades;07 Castilla y León;Total;1 de julio de 2018;2.408.617
Todas las edades;07 Castilla y León;Total;1 de abril de 2018;""
Todas las edades;07 Castilla y León;Total;1 de enero de 2018;2.417.013
Todas las edades;07 Castilla y León;Total;1 de octubre de 2017;""
Todas las edades;07 Castilla y León;Total;1 de julio de 2017;2.421.556
Todas las edades;07 Castilla y León;Total;1 de abril de 2017;""
Todas las edades;07 Castilla y León;Total;1 de enero de 2017;2.433.535
Todas las edades;07 Castilla y León;Total;1 de octubre de 2016;""
Todas las edades;07 Castilla y León;Total;1 de julio de 2016;2.442.259
Todas las edades;07 Castilla y León;Total;1 de abril de 2016;""
Todas las edades;07 Castilla y León;Total;1 de enero de 2016;2.452.721
Todas las edades;07 Castilla y León;Total;1 de octubre de 2015;""
Todas las edades;07 Castilla y León;Total;1 de julio de 2015;2.462.191
Todas las edades;07 Castilla y León;Total;1 de abril de 2015;""
Todas las edades;07 Castilla y León;Total;1 de enero de 2015;2.475.697
Todas las edades;07 Castilla y León;Total;1 de octubre de 2014;""
Todas las edades;07 Castilla y León;Total;1 de julio de 2014;2.482.991
Todas las edades;07 Castilla y León;Total;1 de abril de 2014;""
Todas las edades;07 Castilla y León;Total;1 de enero de 2014;2.493.604
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2025;2.126.378
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2024;2.120.562
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2024;2.113.135
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2024;2.107.648
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2024;2.104.433
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2023;2.099.494
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2023;2.092.447
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2023;2.088.160
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2023;2.084.086
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2022;2.076.182
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2022;2.069.351
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2022;2.062.462
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2022;2.058.278
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2021;2.053.807
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2021;2.050.861
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2021;2.052.154
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2021;2.052.505
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2020;""
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2020;2.045.920
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2020;""
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2020;2.047.969
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2019;""
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2019;2.040.679
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2019;""
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2019;2.036.777
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2018;""
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2018;2.032.138
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2018;""
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2018;2.034.409
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2017;""
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2017;2.034.084
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2017;""
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2017;2.041.422
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2016;""
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2016;2.043.828
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2016;""
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2016;2.049.336
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2015;""
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2015;2.054.098
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2015;""
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2015;2.062.615
Todas las edades;08 Castilla - La Mancha;Total;1 de octubre de 2014;""
Todas las edades;08 Castilla - La Mancha;Total;1 de julio de 2014;2.067.307
Todas las edades;08 Castilla - La Mancha;Total;1 de abril de 2014;""
Todas las edades;08 Castilla - La Mancha;Total;1 de enero de 2014;2.074.760
Todas las edades;09 Cataluña;Total;1 de enero de 2025;8.124.126
Todas las edades;09 Cataluña;Total;1 de octubre de 2024;8.096.922
Todas las edades;09 Cataluña;Total;1 de julio de 2024;8.061.119
Todas las edades;09 Cataluña;Total;1 de abril de 2024;8.031.452
Todas las edades;09 Cataluña;Total;1 de enero de 2024;8.012.231
Todas las edades;09 Cataluña;Total;1 de octubre de 2023;7.994.969
