tema,anio_objetivo,anio_real_hilo,anio_validado,id_hilo,titulo_hilo,url_hilo,paginas,comentarios,duplicados_eliminados,comentarios_anio_objetivo,lote_extraccion,revision_tematica
inmigracion,2015,2015,True,4502429,Quiero datos que confirmen que la inmigración africana es mala,https://forocoches.com/foro/showthread.php?t=4502429,1,20,0,20.0,ampliacion_03,
inmigracion,2015,2015,True,4520069,Mas inmigracion = Mayor delincuencia. TEMA SERIO.,https://forocoches.com/foro/showthread.php?t=4520069,2,43,0,26.0,ampliacion_03,
inmigracion,2015,2015,True,4411585,"Si un ciudadano comunitario quiere trabajar en España, ¿qué necesita?",https://forocoches.com/foro/showthread.php?t=4411585,2,34,0,33.0,ampliacion_04,valido_directo
inmigracion,2015,2015,True,4527461,"Anuncio de ""EDUCO"" pobreza INFANTIL",https://forocoches.com/foro/showthread.php?t=4527461,1,19,0,19.0,ampliacion_04,valido_mixto
inmigracion,2015,2015,True,4675906,Conseguir visado de trabajo en España [Tema Serio],https://forocoches.com/foro/showthread.php?t=4675906,1,25,0,24.0,ampliacion_04,valido_directo
inmigracion,2015,2015,True,4236180,He vivido en Suecia y respondo preguntas sobre immigración y sociedad,https://forocoches.com/foro/showthread.php?t=4236180,3,76,0,76.0,ampliacion_05,valido_directo
inmigracion,2016,2016,True,4856902,Somos un país de emigrantes,https://forocoches.com/foro/showthread.php?t=4856902,5,132,0,132.0,ampliacion_06,valido_directo
inmigracion,2016,2016,True,5068993,Que opinion teneis de este articulo sobre inmigracion?,https://forocoches.com/foro/showthread.php?t=5068993,1,14,0,14.0,ampliacion_06,valido_directo
inmigracion,2016,2016,True,5149331,"REGUGIADO SIRIO: ""ESPERABA MÁS de ESPAÑA""",https://forocoches.com/foro/showthread.php?t=5149331,55,1553,69,1553.0,ampliacion_06,valido_directo
inmigracion,2016,2016,True,5306998,Valencia. nmigrantes sin papeles empadronados durante un año cobrarán hasta 532 euros,https://forocoches.com/foro/showthread.php?t=5306998,8,213,0,212.0,ampliacion_06,valido_directo
inmigracion,2016,2016,True,5320037,"Progres, asumidlo: El Nacionalismo Identitario tomará las riendas de Europa",https://forocoches.com/foro/showthread.php?t=5320037,7,186,0,186.0,ampliacion_06,valido_directo
inmigracion,2016,2016,True,4759444,El gobierno de Rajoy concedió 4.400 nacionalidades por decreto; 4.200 a sefardíes,https://forocoches.com/foro/showthread.php?t=4759444,1,30,0,30.0,ampliacion_07,valido_directo
inmigracion,2016,2016,True,4810374,"Trabajar SIN PAPELES, regularización?? - Tema Serio",https://forocoches.com/foro/showthread.php?t=4810374,1,12,0,12.0,ampliacion_07,valido_directo
inmigracion,2016,2016,True,4814861,"""Conexión entre inmigración y delincuencia realmente no existe""",https://forocoches.com/foro/showthread.php?t=4814861,4,101,0,101.0,ampliacion_07,valido_directo
inmigracion,2016,2016,True,5234727,Refugees cubanos,https://forocoches.com/foro/showthread.php?t=5234727,2,37,0,37.0,ampliacion_07,valido_directo
inmigracion,2019,2019,True,7204675,La Generalitat de Catalunya paga 100€ al día por cada MENA,https://forocoches.com/foro/showthread.php?t=7204675,1,12,0,12.0,ampliacion_08,valido_directo
inmigracion,2019,2019,True,7285578,"Salvini, sobre el Open Arms: ""Que España los haga volver o lo haremos nosotros""",https://forocoches.com/foro/showthread.php?t=7285578,3,63,0,63.0,ampliacion_08,valido_directo
inmigracion,2019,2019,True,7292972,La verdad sobre los menas,https://forocoches.com/foro/showthread.php?t=7292972,2,59,0,52.0,ampliacion_08,valido_directo
inmigracion,2019,2019,True,7356102,Venezuela se convierte en el mayor éxodo de la historia superan a Afganos y Sirios,https://forocoches.com/foro/showthread.php?t=7356102,2,34,0,34.0,ampliacion_08,valido_directo
inmigracion,2019,2019,True,7365765,Solución al tema de la inmigración?,https://forocoches.com/foro/showthread.php?t=7365765,2,37,0,37.0,ampliacion_08,valido_directo
inmigracion,2019,2019,True,7411938,os dejo mi opinion sobre la inmigracion,https://forocoches.com/foro/showthread.php?t=7411938,2,35,0,35.0,ampliacion_08,valido_directo
