tema,anio_objetivo,id_hilo,comentarios_anuales,usuarios_unicos,fecha_minima,fecha_maxima,titulo_resultado,url_hilo,subtema_preliminar,criterio_inclusion,requiere_revision_tematica,origen_candidato,lote
inmigracion,2015,4085624,114,73,2015-01-02 16:31:00,2015-04-22 21:54:00,"La inmigración, un evidente problema social",https://forocoches.com/foro/showthread.php?t=4085624,,El tema central declarado es la inmigración,,,
inmigracion,2015,4096364,15,12,2015-01-08 16:56:00,2015-01-08 18:09:00,Reflexión sobre los musulmanes. Punto de vista diferente. TEMA SERIO,https://forocoches.com/foro/showthread.php?t=4096364,,"Debate explícito sobre inmigración musulmana, fronteras y deportación",,,
inmigracion,2015,4236180,76,41,2015-04-01 17:17:00,2015-05-02 12:13:00,He vivido en Suecia y respondo preguntas sobre inmigración y sociedad,https://forocoches.com/foro/showthread.php?t=4236180,integracion_multiculturalidad,"Experiencia personal sobre inmigración, integración, multiculturalidad, discriminación y convivencia en Suecia",False,,
inmigracion,2015,4343322,2,1,2015-05-29 21:01:00,2015-05-29 21:26:00,Récord de saltos en la valla de Ceuta y Melilla en 2014,https://forocoches.com/foro/showthread.php?t=4343322,,,,,
inmigracion,2015,4411585,33,15,2015-07-06 09:28:00,2015-07-09 16:33:00,"Si un ciudadano comunitario quiere trabajar en España, ¿qué necesita?",https://forocoches.com/foro/showthread.php?t=4411585,migracion_laboral_comunitaria,"Movilidad laboral hacia España, NIE, residencia y requisitos administrativos",False,,
inmigracion,2015,4502429,20,16,2015-08-31 23:13:00,2015-09-01 12:39:00,Quiero datos que confirmen que la inmigración africana es mala,https://forocoches.com/foro/showthread.php?t=4502429,inmigracion_delincuencia,"Debate explícito sobre inmigración africana, delincuencia y evidencia estadística",,,
inmigracion,2015,4508934,5,4,2015-09-04 16:44:00,2015-09-06 04:05:00,Reflexión sobre inmigración y política (TEMA SERIO),https://forocoches.com/foro/showthread.php?t=4508934,,,,,
inmigracion,2015,4514261,77,42,2015-09-07 20:38:00,2015-12-06 23:36:00,El problema que hemos creado,https://forocoches.com/foro/showthread.php?t=4514261,,,,,
inmigracion,2015,4520069,26,23,2015-09-11 00:12:00,2015-09-21 15:17:00,Más inmigración = Mayor delincuencia. TEMA SERIO,https://forocoches.com/foro/showthread.php?t=4520069,inmigracion_delincuencia,"Discusión central sobre la relación entre inmigración, delincuencia y control migratorio",,,
inmigracion,2015,4527461,19,16,2015-09-15 17:41:00,2015-09-18 14:20:00,Anuncio de EDUCO: pobreza infantil,https://forocoches.com/foro/showthread.php?t=4527461,refugiados_competencia_bienestar,"El mensaje inicial contrapone pobreza nacional, ayudas públicas y acogida de refugiados",True,,
inmigracion,2015,4554014,24,20,2015-10-01 02:46:00,2015-10-01 03:27:00,¿Por qué ForoCoches no es como la sociedad española en general?,https://forocoches.com/foro/showthread.php?t=4554014,,Compara la opinión de ForoCoches sobre la acogida de refugiados con la sociedad española,,,
