tema,anio_objetivo,id_hilo,titulo_resultado,url_hilo,fuente_descubrimiento,consulta_descubrimiento,lote_descubrimiento,criterio_inclusion,subtema_preliminar,requiere_revision_tematica,origen_candidato,lote
inmigracion,2015,4343322,Récord de saltos en la valla de Ceuta y Melilla en 2014,https://forocoches.com/foro/showthread.php?t=4343322,buscador_externo,,,,,,,
inmigracion,2015,4508934,Reflexión sobre inmigración y política (TEMA SERIO),https://forocoches.com/foro/showthread.php?t=4508934,buscador_externo,,,,,,,
inmigracion,2015,4514261,El problema que hemos creado,https://forocoches.com/foro/showthread.php?t=4514261,buscador_externo,,,,,,,
inmigracion,2016,4730394,Un asunto delicado el tema INMIGRACIÓN y delincuencia. ¿Qué eliges?,https://forocoches.com/foro/showthread.php?t=4730394,buscador_externo,,,,,,,
inmigracion,2016,4840201,"Refugees vienen, ven que España está hecho mierdas y se van desengañados",https://forocoches.com/foro/showthread.php?t=4840201,buscador_externo,,,,,,,
inmigracion,2016,4930389,Según El Jueves Europa se llena de peligrosos nancys,https://forocoches.com/foro/showthread.php?t=4930389,buscador_externo,,,,,,,
inmigracion,2019,7092240,ALERTA anti-INMIGRACIÓN ILEGAL +TemaSerio,https://forocoches.com/foro/showthread.php?t=7092240,buscador_externo,,,,,,,
inmigracion,2019,7281127,Descubierta la mentira de las pateras,https://forocoches.com/foro/showthread.php?t=7281127,buscador_externo,,,,,,,
inmigracion,2019,7602070,"Los extranjeros aportan el 10 % a la Seguridad Social y solo reciben el 0,9 %",https://forocoches.com/foro/showthread.php?t=7602070,buscador_externo,,,,,,,
inmigracion,2023,9541304,Estoy a favor de la inmigración ilegal,https://forocoches.com/foro/showthread.php?t=9541304,buscador_externo,,,,,,,
inmigracion,2023,9572133,Uno de los problemas del precio de la vivienda es la inmigración,https://forocoches.com/foro/showthread.php?t=9572133,buscador_externo,,,,,,,
inmigracion,2023,9735179,Duda inmigración ilegal,https://forocoches.com/foro/showthread.php?t=9735179,buscador_externo,,,,,,,
lgtbi,2015,4323181,It's a Trap: cuando ella es él y él es ella,https://forocoches.com/foro/showthread.php?t=4323181,buscador_externo,,,,,,,
lgtbi,2015,4677567,Un hombre de 52 años se transforma en una niña de seis,https://forocoches.com/foro/showthread.php?t=4677567,buscador_externo,,,,,,,
lgtbi,2016,4784732,Nueva agresión homófoba en la capital,https://forocoches.com/foro/showthread.php?t=4784732,buscador_externo,,,,,,,
lgtbi,2016,4900779,La que me han liado por decir que los mariquitas no son normales,https://forocoches.com/foro/showthread.php?t=4900779,buscador_externo,,,,,,,
lgtbi,2016,4932029,Árbitro deja el arbitraje por recibir continuos insultos homófobos,https://forocoches.com/foro/showthread.php?t=4932029,buscador_externo,,,,,,,
lgtbi,2019,7268857,La obsesión homófoba de VOX empieza a ser enfermiza,https://forocoches.com/foro/showthread.php?t=7268857,buscador_externo,,,,,,,
lgtbi,2019,7293798,¿VOX es un partido homófobo?,https://forocoches.com/foro/showthread.php?t=7293798,buscador_externo,,,,,,,
lgtbi,2019,7306066,A favor o en contra de que se hagan cursos LGTB en las escuelas,https://forocoches.com/foro/showthread.php?t=7306066,buscador_externo,,,,,,,
lgtbi,2023,9472060,Las empresas con más de 50 empleados tienen un año para implantar un plan LGTBI,https://forocoches.com/foro/showthread.php?t=9472060,buscador_externo,,,,,,,
lgtbi,2023,9677912,Podemos quiere que Irene Montero siga como ministra de Igualdad,https://forocoches.com/foro/showthread.php?t=9677912,buscador_externo,,,,,,,
lgtbi,2023,9763018,Ángela Pam: recopilación de políticas de Igualdad y avances LGTBI,https://forocoches.com/foro/showthread.php?t=9763018,buscador_externo,,,,,,,
inmigracion,2015,4085624,"La inmigración, un evidente problema social",https://forocoches.com/foro/showthread.php?t=4085624,buscador_externo,inmigración problema social 2015,ampliacion_02,El tema central declarado es la inmigración,,,,
inmigracion,2015,4096364,Reflexión sobre los musulmanes. Punto de vista diferente. TEMA SERIO,https://forocoches.com/foro/showthread.php?t=4096364,buscador_externo,musulmanes inmigración 2015,ampliacion_02,"Debate explícito sobre inmigración musulmana, fronteras y deportación",,,,
inmigracion,2015,4509903,Sobre una intervención de la OTAN en Siria a raíz de la crisis de refugiados,https://forocoches.com/foro/showthread.php?t=4509903,enlace_desde_otro_hilo,crisis de refugiados Siria 2015,ampliacion_02,Crisis de refugiados vinculada a la guerra de Siria,,,,
inmigracion,2015,4554014,¿Por qué ForoCoches no es como la sociedad española en general?,https://forocoches.com/foro/showthread.php?t=4554014,buscador_externo,ForoCoches refugiados 2015,ampliacion_02,Compara la opinión de ForoCoches sobre la acogida de refugiados con la sociedad española,,,,
inmigracion,2015,4598366,¿Estarías a favor de expulsar a todos los musulmanes de España?,https://forocoches.com/foro/showthread.php?t=4598366,buscador_externo,expulsión musulmanes España 2015,ampliacion_02,"Debate sobre expulsión, integración y población migrante",,,,
inmigracion,2015,4605288,Programa de Podemos para las generales respecto a la inmigración,https://forocoches.com/foro/showthread.php?t=4605288,buscador_externo,programa político inmigración 2015,ampliacion_02,"Políticas migratorias, CIE, deportaciones y derechos políticos",,,,
inmigracion,2015,4634310,Apuntando alto: quiénes están detrás de la inmigración (pruebas dentro),https://forocoches.com/foro/showthread.php?t=4634310,buscador_externo,inmigración masiva política 2015,ampliacion_02,Discusión centrada en las causas políticas de la inmigración,,,,
inmigracion,2015,4661741,UPyD e inmigración,https://forocoches.com/foro/showthread.php?t=4661741,buscador_externo,UPyD inmigración 2015,ampliacion_02,Debate sobre propuestas políticas relacionadas con inmigración,,,,
inmigracion,2015,4502429,Quiero datos que confirmen que la inmigración africana es mala,https://forocoches.com/foro/showthread.php?t=4502429,buscador_externo,inmigración africana datos 2015,ampliacion_03,"Debate explícito sobre inmigración africana, delincuencia y evidencia estadística",inmigracion_delincuencia,,,
inmigracion,2015,4520069,Más inmigración = Mayor delincuencia. TEMA SERIO,https://forocoches.com/foro/showthread.php?t=4520069,buscador_externo,extranjeros delincuencia inmigración 2015,ampliacion_03,"Discusión central sobre la relación entre inmigración, delincuencia y control migratorio",inmigracion_delincuencia,,,
inmigracion,2015,4608044,Migración: Volver a ninguna parte,https://forocoches.com/foro/showthread.php?t=4608044,buscador_externo,migración retorno inmigrantes 2015,ampliacion_03,"Experiencias migratorias, adaptación, retorno y permanencia de población inmigrante",experiencia_migratoria,,,
inmigracion,2015,4411585,"Si un ciudadano comunitario quiere trabajar en España, ¿qué necesita?",https://forocoches.com/foro/showthread.php?t=4411585,buscador_externo,inmigrantes trabajo España 2015,ampliacion_04,"Movilidad laboral hacia España, NIE, residencia y requisitos administrativos",migracion_laboral_comunitaria,False,,
inmigracion,2015,4527461,Anuncio de EDUCO: pobreza infantil,https://forocoches.com/foro/showthread.php?t=4527461,buscador_externo,refugiados ayudas España septiembre 2015,ampliacion_04,"El mensaje inicial contrapone pobreza nacional, ayudas públicas y acogida de refugiados",refugiados_competencia_bienestar,True,,
inmigracion,2015,4675906,Conseguir visado de trabajo en España [Tema Serio],https://forocoches.com/foro/showthread.php?t=4675906,buscador_externo,visado trabajo España diciembre 2015,ampliacion_04,"Migración legal hacia España, permisos de residencia, trabajo e integración administrativa",visados_residencia_trabajo,False,,
inmigracion,2015,4236180,He vivido en Suecia y respondo preguntas sobre inmigración y sociedad,https://forocoches.com/foro/showthread.php?t=4236180,buscador_externo,inmigración sociedad integración 2015,ampliacion_05,"Experiencia personal sobre inmigración, integración, multiculturalidad, discriminación y convivencia en Suecia",integracion_multiculturalidad,False,,
inmigracion,2016,4856902,Somos un país de emigrantes,https://forocoches.com/foro/showthread.php?t=4856902,buscador_externo,refugiados asilo países receptores 2016,ampliacion_06,"Debate sobre solicitudes de asilo, países receptores y distribución de refugiados",refugiados_asilo_internacional,True,,
inmigracion,2016,5068993,¿Qué opinión tenéis de este artículo sobre inmigración?,https://forocoches.com/foro/showthread.php?t=5068993,buscador_externo,inmigración estado del bienestar 2016,ampliacion_06,"Discusión sobre aportaciones fiscales, prestaciones y percepción social de inmigrantes",inmigracion_estado_bienestar,False,,
inmigracion,2016,5149331,"Refugiado sirio: ""Esperaba más de España""",https://forocoches.com/foro/showthread.php?t=5149331,buscador_externo,refugiado sirio ayudas España 2016,ampliacion_06,"Debate sobre asilo, ayudas públicas, vivienda, universidad y reunificación familiar",refugiados_ayudas_reagrupacion,False,,
inmigracion,2016,5306998,Valencia: inmigrantes sin papeles empadronados cobrarán hasta 532 euros,https://forocoches.com/foro/showthread.php?t=5306998,buscador_externo,inmigrantes sin papeles ayudas Valencia 2016,ampliacion_06,"Discusión sobre irregularidad administrativa, empadronamiento y renta de inclusión",inmigracion_irregular_ayudas,False,,
inmigracion,2016,5320037,"Progres, asumidlo: el nacionalismo identitario tomará las riendas de Europa",https://forocoches.com/foro/showthread.php?t=5320037,buscador_externo,inmigración masiva multiculturalismo 2016,ampliacion_06,La inmigración masiva y el multiculturalismo son argumentos centrales del mensaje inicial,multiculturalismo_identidad_politica,False,,
inmigracion,2016,4759444,El Gobierno de Rajoy concedió 4.400 nacionalidades por decreto; 4.200 a sefardíes,https://forocoches.com/foro/showthread.php?t=4759444,buscador_externo,nacionalidades inmigración enero 2016,ampliacion_07,"Debate sobre adquisición de nacionalidad, cartas de naturaleza y política migratoria",nacionalidad_ciudadania,False,,
inmigracion,2016,4810374,"Trabajar sin papeles, ¿regularización? Tema serio",https://forocoches.com/foro/showthread.php?t=4810374,buscador_externo,trabajo sin papeles regularización 2016,ampliacion_07,"Situación irregular, permiso de trabajo, residencia y empleo informal",trabajo_irregular_regularizacion,False,,
inmigracion,2016,4814861,Conexión entre inmigración y delincuencia realmente no existe,https://forocoches.com/foro/showthread.php?t=4814861,buscador_externo,inmigración delincuencia febrero 2016,ampliacion_07,"Debate explícito sobre percepción social, inmigración y delincuencia",inmigracion_delincuencia_percepcion,False,,
inmigracion,2016,5234727,Refugees cubanos,https://forocoches.com/foro/showthread.php?t=5234727,buscador_externo,refugiados cubanos noviembre 2016,ampliacion_07,"Discusión sobre refugiados políticos, inmigración económica y vías de asilo",refugiados_politicos_asilo,False,,
inmigracion,2019,7204675,La Generalitat de Catalunya paga 100 € al día por cada MENA,https://forocoches.com/foro/showthread.php?t=7204675,buscador_externo,MENAS costes acogida 2019,ampliacion_08,"Debate sobre menores migrantes, costes de acogida, centros y gestión pública",menas_costes_acogida,False,,
inmigracion,2019,7285578,"Salvini, sobre el Open Arms: Que España los haga volver o lo haremos nosotros",https://forocoches.com/foro/showthread.php?t=7285578,buscador_externo,Open Arms inmigración julio 2019,ampliacion_08,"Debate sobre rescate marítimo, ONG, fronteras y devolución de migrantes",rescate_maritimo_open_arms,False,,
inmigracion,2019,7292972,La verdad sobre los MENAS,https://forocoches.com/foro/showthread.php?t=7292972,buscador_externo,MENAS estadísticas julio 2019,ampliacion_08,"Discusión sobre número de menores migrantes, delincuencia y evidencia estadística",menas_delincuencia_estadisticas,False,,
inmigracion,2019,7356102,Venezuela se convierte en el mayor éxodo de la historia: supera a afganos y sirios,https://forocoches.com/foro/showthread.php?t=7356102,buscador_externo,Venezuela éxodo refugiados agosto 2019,ampliacion_08,"Refugiados, solicitudes de asilo, desplazamiento y migración venezolana",exodo_venezolano_asilo,False,,
inmigracion,2019,7365765,¿Solución al tema de la inmigración?,https://forocoches.com/foro/showthread.php?t=7365765,buscador_externo,solución inmigración agosto 2019,ampliacion_08,"Propuestas sobre fronteras, deportación, visados, rescate marítimo e integración",politica_migratoria_soluciones,False,,
inmigracion,2019,7411938,Os dejo mi opinión sobre la inmigración,https://forocoches.com/foro/showthread.php?t=7411938,buscador_externo,opinión inmigración integración septiembre 2019,ampliacion_08,"Debate sobre envejecimiento, pensiones, integración, ayudas y delincuencia",integracion_demografia_bienestar,False,,
inmigracion,2019,7022487,Conseguir permiso residencia,https://forocoches.com/foro/showthread.php?t=7022487,buscador_web,"site:forocoches.com/foro/showthread.php ""permiso residencia"" inmigración 2019",ampliacion_09,"Consulta directa sobre residencia, trabajo, regularización y llegada a España.",residencia_regularizacion_trabajo,False,,
inmigracion,2019,6962744,Los hijos de migrantes tienen más difícil encontrar un empleo,https://forocoches.com/foro/showthread.php?t=6962744,buscador_web,"site:forocoches.com/foro/showthread.php ""hijos de migrantes"" empleo 2019",ampliacion_09,"Debate explícito sobre descendientes de migrantes, empleo, integración y discriminación.",segunda_generacion_empleo_integracion,False,,
inmigracion,2019,7514350,La IZQUIERDA y las MENTIRAS,https://forocoches.com/foro/showthread.php?t=7514350,buscador_web,site:forocoches.com/foro/showthread.php inmigrantes ayudas expulsión 2019,ampliacion_09,"El resultado contiene discusión sobre inmigración, ayudas públicas y expulsión, pero el título indica un debate político amplio.",inmigracion_ayudas_discurso_politico,True,,
inmigracion,2019,7582097,"Menores extranjeros en el centro de Hortaleza: ""No nos gusta vivir aquí""",https://forocoches.com/foro/showthread.php?t=7582097,buscador_web,site:forocoches.com/foro/showthread.php MENAS menores extranjeros 2019,ampliacion_10,"Debate explícito sobre menores extranjeros no acompañados, centros de acogida, llegada migratoria e integración.",menas_acogida_integracion,False,,
inmigracion,2019,7386240,Estas es la calidad de noticias y sucesos en la que estáis cayendo en ForoCoches,https://forocoches.com/foro/showthread.php?t=7386240,buscador_web,site:forocoches.com/foro/showthread.php inmigración MENAS noticias 2019,ampliacion_10,"Discusión sobre la representación de la inmigración, los MENAS, los refugiados sirios y las noticias publicadas en el foro.",representacion_mediatica_menas,False,,
inmigracion,2023,9577492,ONG roba dinero para MENAS,https://forocoches.com/foro/showthread.php?t=9577492,buscador_web,site:forocoches.com/foro/showthread.php MENAS ONG 2023,ampliacion_11,"Debate explícito sobre menores migrantes, centros de acogida, financiación pública y gestión de una entidad social.",menas_acogida_gestion_fondos,False,,
inmigracion,2023,9810310,El Hierro recibió más migrantes en 7 meses que todo el Mediterráneo español en 2023,https://forocoches.com/foro/showthread.php?t=9810310,buscador_web,"site:forocoches.com/foro/showthread.php ""El Hierro"" migrantes 2023",ampliacion_11,"Debate central sobre llegadas migratorias en cayucos, menores migrantes, Canarias y redistribución territorial.",ruta_canaria_cayucos_llegadas,False,,
