id,indexed_date,language,media_name,media_url,publish_date,title,url
f764b183f7b2e39fa9368f4084e16eb7d893a1b16d5a077fd4751f2128344489,2026-05-12 15:20:42.928577+00:00,es,fundeu.es,fundeu.es,2015-05-22,"«bodas gais», mejor que «bodas gay»",https://www.fundeu.es/recomendacion/gais-es-el-plural-de-gay-360/
8dbc86189ee3bb70d50f84d9d7896826f564c90282e2846af5b0ab18c24f53b3,2026-03-07 16:17:44.487954+00:00,es,diariojaen.es,diariojaen.es,2015-02-18,Una rotonda que ya es famosa,https://www.diariojaen.es/historico/una-rotonda-que-ya-es-famosa-XXDJ74918
dc50c8c13a35ca0ed9751a29fb80372d29506f8a3487dc1149e20db9a70fe7a4,2026-03-07 15:53:06.197648+00:00,es,diariojaen.es,diariojaen.es,2015-03-04,âSoplo de alientoâ de El PÃºblico,https://www.diariojaen.es/historico/soplo-de-aliento-de-el-publico-CWDJ75477
9c2b0f5fed307950f9845bcc0aeb1dd5acfac66fb4613f31a3f099a9cac25f43,2026-03-07 15:36:17.691582+00:00,es,diariojaen.es,diariojaen.es,2015-02-16,PongÃ¡monos en la piel del otro,https://www.diariojaen.es/historico/pongamonos-en-la-piel-del-otro-JXDJ74821
f82186d3607345f7b864a363de9a0e64a9a39b6f153878a17de240e89a8112a9,2026-03-07 09:01:14.302566+00:00,es,diariojaen.es,diariojaen.es,2015-04-29,Europa decide que prohibir donar sangre a los homosexuales &#034;puede estar justificado&#034;,https://www.diariojaen.es/historico/la-justicia-europea-dictamina-que-la-prohibicion-a-los-homosexuales-de-donar-sangre-puede-estar-justificada-FYDJ77421
816eef91c999d9143af65c357b004192a4c4abcf234292db800a06e53439ad3e,2026-03-07 06:49:18.201445+00:00,es,diariojaen.es,diariojaen.es,2015-06-09,Muere Pedro Zerolo,https://www.diariojaen.es/historico/muere-pedro-zerolo-GTDJ78822
5c442482f2bc82497ef09c43cdc1a23d8633739bf32d0bf3fc7333464a96d6aa,2026-03-07 04:54:10.722802+00:00,es,diariojaen.es,diariojaen.es,2015-06-08,"Villadompardo, en pleno esplendor para el Corpus",https://www.diariojaen.es/historico/villadompardo-en-pleno-esplendor-para-el-corpus-ETDJ78798
dc3d5d3b79eec0893cc5b4bd2063ec3e534449b998df84cfd28c9c48369abad9,2026-03-07 02:41:57.337161+00:00,es,diariojaen.es,diariojaen.es,2015-07-02,Amor a la luz de la sociedad,https://www.diariojaen.es/historico/amor-a-la-luz-de-la-sociedad-HSDJ79595
7aa9b1d4a77b1196e3e9b7b78a5ee135e0f60460954afd6643959513214a5591,2026-03-07 02:38:02.428662+00:00,es,diariojaen.es,diariojaen.es,2015-05-29,Intolerable acoso escolar,https://www.diariojaen.es/historico/intolerable-acoso-escolar-DTDJ78500
2725d829c8b89c2d29067c9d995d9192612cde64d047bc0b1c0fbd55fb092c13,2026-03-06 23:49:31.871897+00:00,es,diariojaen.es,diariojaen.es,2015-06-29,âJuventudesâ ondea una bandera con mucho orgullo,https://www.diariojaen.es/historico/juventudes-ondea-una-bandera-con-mucho-orgullo-NSDJ79492
b98f831994698d0a21f97d339ab07af03b06ea178d8eaf15cef214950d98643d,2026-03-06 22:51:32.283158+00:00,es,diariojaen.es,diariojaen.es,2015-03-02,Fijas realidades silenciadas por el miedo y la vergÃ¼enza,https://www.diariojaen.es/historico/fijas-realidades-silenciadas-por-el-miedo-y-la-vergueenza-YWDJ75375
6b4c66a565841fd3b2be22442f6e621740550fbd76e9c15c742dac189ff46a54,2026-03-06 22:44:29.975334+00:00,es,diariojaen.es,diariojaen.es,2015-01-19,SÃ¡tira irreverente y terrorismo atroz,https://www.diariojaen.es/historico/satira-irreverente-y-terrorismo-atroz-CDDJ73765
3da2baf9c3b1c6a9c0e88f71f641667bdf1ea4d1d1b322310ec393717ed5c55e,2026-03-06 20:09:30.711650+00:00,es,diariojaen.es,diariojaen.es,2015-07-02,El Rayo Vallecano se acerca a la gente,https://www.diariojaen.es/historico/el-rayo-vallecano-se-acerca-a-la-gente-MSDJ79619
92cf2d03d2fa9042108bea8bcefab2cf60238de6a8277c4d7f7bf95f6157a22d,2026-03-06 17:58:26.416926+00:00,es,diariojaen.es,diariojaen.es,2015-08-06,Una iglesia anclada en el pasado,https://www.diariojaen.es/historico/una-iglesia-anclada-en-el-pasado-XQDJ80642
0b48507f18f863f4e15ef5c114f64e680c5c889f6f5325b5445fa539fa9b8dbc,2026-03-06 16:13:25.212032+00:00,es,diariojaen.es,diariojaen.es,2015-08-10,Una Iglesia abierta a todos,https://www.diariojaen.es/historico/una-iglesia-abierta-a-todos-FQDJ80733
429614ef059d656474f4cc902361a085daac402a3597ee0e1e17326c4bb3f146,2026-03-06 13:16:39.285629+00:00,es,diariojaen.es,diariojaen.es,2015-08-07,El Obispado se aleja de cualquier censura a los transexuales,https://www.diariojaen.es/historico/el-obispado-se-aleja-de-cualquier-censura-a-los-transexuales-FQDJ80676
f8cff47f83f66b670c30994df00c4b9dcf3fc83c8457f542488035860cb49a58,2026-03-06 12:07:19.317311+00:00,es,diariojaen.es,diariojaen.es,2015-08-07,Entre vinilos y reivindicaciÃ³n,https://www.diariojaen.es/historico/entre-vinilos-y-reivindicacion-CQDJ80657
9ea3c642e46b28ddd525d054df2b8ce9c53b25204317c2a40b60d165a36568d9,2026-03-06 09:54:47.857679+00:00,es,diariojaen.es,diariojaen.es,2015-10-21,"La peatonalizaciÃ³n de la calle Ventanas, a estudio",https://www.diariojaen.es/historico/la-peatonalizacion-de-la-calle-ventanas-a-estudio-BODJ82416
7efa5ec38226fd9c9188e49cc9c69f8e8d9eb159c4e75661b1babacea27bc4ed,2026-03-06 05:06:37.325328+00:00,es,diariojaen.es,diariojaen.es,2015-11-04,La justa medida,https://www.diariojaen.es/historico/la-justa-medida-BODJ82829
9e519a2dfd0ee94b166333c229316befe35d5f3ca281e217d234ae7dbb639fcc,2026-03-05 19:10:52.858878+00:00,es,diariojaen.es,diariojaen.es,2015-12-08,El âLinares-AndÃºjarâ acepta la propuesta para crear el primer grupo de profesorado contra la homofobia,https://www.diariojaen.es/linares/el-linares-andujar-acepta-la-propuesta-para-crear-el-primer-grupo-de-profesorado-contra-la-homofobia-BJ568605
